For all members,,,,,,,,,,,,,For industry members only,,,,,,,,,,,,
Name (ZH),Name (EN MT),Common name (EN),Common name (ZH),Tier (ZH),Tier (EN),Original order within tier,Type,Website,Crunchbase URL,"Location (City, Province)",Location (City-level),Location (Provincial Level),Estimated Size,Estimated Focus,Industry Affiliations,AI Product/Service Category,Key products,State-owned?,Not Chinese,Public company,Exchange,Ticker,Notes,,Extracted 3/26/20 from http://aiiaorg.cn/index.php?m=alliance&c=index&a=structure
广州市卓越里程教育科技有限公司,"Guangzhou Excellent Mileage Education Technology Co., Ltd.","
Beststudy",卓越教育,普通会员单位,ordinary members,112,Industry,http://www.zy.com/,https://www.crunchbase.com/organization/beststudy,"Guangzhou, Guangdong",Guangzhou,Guangdong,Medium,Diversified,"Education, Primary Education, Secondary Education",n/a,Extracurricular education,No,No,Yes,HKSE,3978,,,
上海畅圣计算机科技有限公司,"Shanghai Changsheng Computer Technology Co., Ltd.","
Changsheng",畅圣科技,普通会员单位,ordinary members,99,Industry,http://www.iuicity.com/,https://www.crunchbase.com/organization/changsheng,Shanghai,Shanghai,Shanghai,Small/startup,Focused on AI,"Big Data, Data Mining, FinTech",Data Storage and Processing,Data ming for the financial sector,No,No,No,,,,,
北京顶象技术有限公司,"Beijing Dingxiang Technology Co., Ltd.","
Dingxiang Technology",顶象技术,普通会员单位,ordinary members,156,Industry,https://www.dingxiang-inc.com/,https://www.crunchbase.com/organization/dingxiang-technology,Beijing,Beijing,Beijing,Small/startup,Diversified,Software,n/a,Internet security systems,No,No,No,,,,,
北京易掌云峰科技有限公司,"Beijing Yizhang Yunfeng Technology Co., Ltd.","
Easemob Technologies",环信,理事单位,board members,84,Industry,http://www.easemob.com/,https://www.crunchbase.com/organization/easemob,Beijing,Beijing,Beijing,Medium,Diversified,"Messaging, PaaS",n/a,"Instant messaging, voice, and data services",No,No,No,,,,,
海德声科贸易（上海）有限公司,"Hyder Sound Trading (Shanghai) Co., Ltd.","
HEAD acoustics",海德声科,普通会员单位,ordinary members,209,Industry,https://www.head-acoustics.cn/cn/index.htm,https://www.crunchbase.com/organization/head-acoustics,Shanghai,Shanghai,Shanghai,Medium,Diversified,"Hardware, Information Technology, Manufacturing, Software, Telecommunications",n/a,Integrated acoustics solutions,No,Yes,No,,,,,
南京天数智芯科技有限公司,"Nanjing Tianshu Zhixin Technology Co., Ltd.","
Iluvatar CoreX",天数智芯,普通会员单位,ordinary members,128,Industry,http://www.iluvatar.com.cn/,https://www.crunchbase.com/organization/iluvatar-corex,"Nanjing, Jiangsu",Nanjing,Jiangsu,Small/startup,Diversified,"Cloud Computing, Information Services, Information Technology, Software",n/a,System-on-a-Chip (SoC) chipset and its software platform,No,No,No,,,,,
北京来也网络科技有限公司,"Beijing Laiya Network Technology Co., Ltd.","
Laiye",来也科技,理事单位,board members,189,Industry,https://www.laiye.com/,https://www.crunchbase.com/organization/laiye#section-overview,Beijing,Beijing,Beijing,Small/startup,Focused on AI,"Apps, Artificial Intelligence, Enterprise, Internet Mobile, Mobile, Apps, Mobile Payments, Natural Language Processing",Voice Recognition and Natural Language Processing,Smart robot,No,No,No,,,,,
北京车和家信息技术有限公司,"Beijing Chehejia Information Technology Co., Ltd.","
Lixiang",理想汽车,普通会员单位,ordinary members,144,Industry,https://www.lixiang.com/,https://www.crunchbase.com/organization/chehejia,Beijing,Beijing,Beijing,Medium,Diversified,"Automotive, Electric Vehicle, Transportation",n/a,Electric vehicles,No,No,No,,,,,
上海极链网络科技有限公司,"Shanghai Jilian Network Technology Co., Ltd.","
Video++",极链科技,普通会员单位,ordinary members,96,Industry,http://videojj.com/,https://www.crunchbase.com/organization/video-7010,Shanghai,Shanghai,Shanghai,Small/startup,Diversified,"Media and Entertainment, Video, Video Editing, Video Streaming",n/a,Video AI service,No,No,No,,,,,
北京小爱智能科技有限公司,"Beijing Xiaoai Intelligent Technology Co., Ltd.","
WorkAI",小爱科技,普通会员单位,ordinary members,207,Industry,https://www.workai.com.cn/,https://www.crunchbase.com/organization/workai,Beijing,Beijing,Beijing,Small/startup,Focused on AI,"Artificial Intelligence, Human Resources, Recruiting",Business Solutions,AI-powered human resources services ,No,No,No,,,,,
北京远舢智能科技有限公司,"Beijing Yuanli Intelligent Technology Co., Ltd.","
Yuanshan AI",远舢智能,普通会员单位,ordinary members,119,Industry,http://www.yuanshan-ai.com/,https://www.crunchbase.com/organization/yuanshan-ai,Beijing,Beijing,Beijing,Small/startup,Focused on AI,"Artificial Intelligence, Manufacturing, Robotics, Software",Industrial Robots,Industrial intelligent platform,No,No,No,,,,,
图玛深维医疗科技（北京）有限公司,"Tuma Shenwei Medical Technology (Beijing) Co., Ltd.",12 Sigma,图玛深维,理事单位,board members,183,Industry,http://www.12sigma.com.cn/,https://www.crunchbase.com/organization/12-sigma-technologies,Beijing,Beijing,Beijing,Small/startup,Focused on AI,"Artificial Intelligence, Computer Health Care, Medical Device, Software",Business Solutions,AI solutions for medical diagnosis,No,No,No,,,,,
世纪龙信息网络有限责任公司,"Century Dragon Information Network Co., Ltd.",21CN,世纪龙,普通会员单位,ordinary members,299,Industry,www.21cn.com,n/a,"Guangzhou, Guangdong",Guangzhou,Guangdong,Small/startup,Diversified,Internet services,n/a,"Virtual hosting services, System integration, project consulting services",No,No,No,,,,,
北京世纪互联宽带数据中心有限公司,"Beijing Century Internet Broadband Data Center Co., Ltd.",21viaNet,世纪互联,普通会员单位,ordinary members,243,Industry,https://www.21vianet.com/,https://www.crunchbase.com/organization/21vianet,Beijing,Beijing,Beijing,Medium,Diversified,"Cloud Data Services, Data Center, Enterprise Software, Information Technology, Internet, Web Hosting",n/a,Carrier-neutral internet data center services,No,No,Yes,NASDAQ,VNET,,,
上海三零卫士信息安全有限公司,"Shanghai Three Zero Guards Information Security Co., Ltd.",30wish,三零卫士,普通会员单位,ordinary members,167,Industry,www.30wish.net/ ,n/a,Shanghai,Shanghai,Shanghai,Small/startup,Diversified,Cyber security,n/a,Cyber security,No,No,No,,,Can't access company's website,,
广州三拾七度智能家居有限公司,"Guangzhou Sanshiqidu Smart Home Co., Ltd.",37C Smart Home,三拾七度智能家居,普通会员单位,ordinary members,321,Industry,http://www.37smarthome.com/,n/a,"Guangzhou, Guangdong",Guangzhou,Guangdong,Medium,Diversified,Manufacturing,n/a,Smart home appliances,No,No,No,,,,,
北京创客帮科技孵化器有限公司,"Beijing Chuangkebang Technology Incubator Co., Ltd.",91maker,创客帮,普通会员单位,ordinary members,36,Industry,http://www.17ckb.cn/index/,https://www.crunchbase.com/organization/91maker#section-overview,Beijing,Beijing,Beijing,Small/startup,Diversified,"Finance, Financial Services, Incubators",n/a,Incubator,No,No,No,,,,,
